size,probe,lookup,ns_per_op,groups_per_lookup,speedup_vs_scalar
1024,simd,hit,6.2074,1.0010,2.6394
1024,scalar,hit,16.3841,1.0010,1.0
1024,simd,miss,6.2774,1.0000,5.0781
1024,scalar,miss,31.8771,1.0000,1.0
8192,simd,hit,14.8822,1.0000,2.6902
8192,scalar,hit,40.0357,1.0000,1.0
8192,simd,miss,11.7211,1.0035,5.5334
8192,scalar,miss,64.8577,1.0035,1.0
65536,simd,hit,23.6107,1.0003,2.9815
65536,scalar,hit,70.3959,1.0003,1.0
65536,simd,miss,13.7538,1.0038,5.3529
65536,scalar,miss,73.6228,1.0038,1.0
524288,simd,hit,39.4721,1.0004,2.2368
524288,scalar,hit,88.2891,1.0004,1.0
524288,simd,miss,13.7373,1.0038,3.6244
524288,scalar,miss,49.7890,1.0038,1.0
4194304,simd,hit,116.1869,1.0004,2.5147
4194304,scalar,hit,292.1694,1.0004,1.0
4194304,simd,miss,77.2580,1.0041,3.4384
4194304,scalar,miss,265.6452,1.0041,1.0
