max_load,lookup,groups,fraction
1/2,hit,1,0.999580
1/2,hit,2,0.000412
1/2,hit,3,0.000008
1/2,miss,1,0.996056
1/2,miss,2,0.003830
1/2,miss,3,0.000114
5/8,hit,1,0.996609
5/8,hit,2,0.003094
5/8,hit,3,0.000286
5/8,hit,4,0.000008
5/8,hit,5,0.000004
5/8,miss,1,0.966827
5/8,miss,2,0.029583
5/8,miss,3,0.003448
5/8,miss,4,0.000141
11/16,hit,1,0.992435
11/16,hit,2,0.006641
11/16,hit,3,0.000881
11/16,hit,4,0.000038
11/16,hit,5,0.000004
11/16,miss,1,0.927913
11/16,miss,2,0.059052
11/16,miss,3,0.011803
11/16,miss,4,0.001133
11/16,miss,5,0.000099
3/4,hit,1,0.984066
3/4,hit,2,0.013062
3/4,hit,3,0.002487
3/4,hit,4,0.000340
3/4,hit,5,0.000046
3/4,miss,1,0.856517
3/4,miss,2,0.098999
3/4,miss,3,0.034283
3/4,miss,4,0.008110
3/4,miss,5,0.001728
3/4,miss,6,0.000336
3/4,miss,7,0.000027
13/16,hit,1,0.970505
13/16,hit,2,0.021114
13/16,hit,3,0.006229
13/16,hit,4,0.001610
13/16,hit,5,0.000412
13/16,hit,6,0.000111
13/16,hit,7,0.000019
13/16,miss,1,0.744925
13/16,miss,2,0.141762
13/16,miss,3,0.071793
13/16,miss,4,0.027619
13/16,miss,5,0.009399
13/16,miss,6,0.003391
13/16,miss,7,0.000931
13/16,miss,8,0.000160
13/16,miss,9,0.000019
7/8,hit,1,0.949177
7/8,hit,2,0.030415
7/8,hit,3,0.012550
7/8,hit,4,0.004746
7/8,hit,5,0.001827
7/8,hit,6,0.000778
7/8,hit,7,0.000340
7/8,hit,8,0.000111
7/8,hit,9,0.000038
7/8,hit,10,0.000015
7/8,hit,13,0.000004
7/8,miss,1,0.578226
7/8,miss,2,0.168255
7/8,miss,3,0.112675
7/8,miss,4,0.066414
7/8,miss,5,0.037357
7/8,miss,6,0.019020
7/8,miss,7,0.010243
7/8,miss,8,0.004215
7/8,miss,9,0.002331
7/8,miss,10,0.000710
7/8,miss,11,0.000313
7/8,miss,12,0.000126
7/8,miss,13,0.000057
7/8,miss,14,0.000019
7/8,miss,15,0.000038
29/32,hit,1,0.933777
29/32,hit,2,0.035637
29/32,hit,3,0.016533
29/32,hit,4,0.007053
29/32,hit,5,0.003346
29/32,hit,6,0.001862
29/32,hit,7,0.000847
29/32,hit,8,0.000477
29/32,hit,9,0.000263
29/32,hit,10,0.000118
29/32,hit,11,0.000038
29/32,hit,12,0.000019
29/32,hit,13,0.000008
29/32,hit,14,0.000004
29/32,hit,15,0.000019
29/32,miss,1,0.470896
29/32,miss,2,0.165414
29/32,miss,3,0.124852
29/32,miss,4,0.084446
29/32,miss,5,0.058010
29/32,miss,6,0.037243
29/32,miss,7,0.023941
29/32,miss,8,0.014813
29/32,miss,9,0.008350
29/32,miss,10,0.005089
29/32,miss,11,0.003120
29/32,miss,12,0.001644
29/32,miss,13,0.000889
29/32,miss,14,0.000557
29/32,miss,15,0.000408
29/32,miss,16,0.000130
29/32,miss,17,0.000114
29/32,miss,18,0.000072
29/32,miss,19,0.000011
15/16,hit,1,0.916504
15/16,hit,2,0.039623
15/16,hit,3,0.020050
15/16,hit,4,0.009838
15/16,hit,5,0.005558
15/16,hit,6,0.003235
15/16,hit,7,0.001862
15/16,hit,8,0.001381
15/16,hit,9,0.000717
15/16,hit,10,0.000446
15/16,hit,11,0.000259
15/16,hit,12,0.000160
15/16,hit,13,0.000122
15/16,hit,14,0.000107
15/16,hit,15,0.000057
15/16,hit,16,0.000031
15/16,hit,17,0.000019
15/16,hit,18,0.000015
15/16,hit,19,0.000008
15/16,hit,20,0.000004
15/16,hit,21,0.000004
15/16,miss,1,0.343824
15/16,miss,2,0.145711
15/16,miss,3,0.122349
15/16,miss,4,0.091343
15/16,miss,5,0.073128
15/16,miss,6,0.056870
15/16,miss,7,0.040970
15/16,miss,8,0.032871
15/16,miss,9,0.024349
15/16,miss,10,0.018490
15/16,miss,11,0.013973
15/16,miss,12,0.009937
15/16,miss,13,0.007286
15/16,miss,14,0.004791
15/16,miss,15,0.004189
15/16,miss,16,0.002747
15/16,miss,17,0.002186
15/16,miss,18,0.001526
15/16,miss,19,0.000950
15/16,miss,20,0.000759
15/16,miss,21,0.000675
15/16,miss,22,0.000378
15/16,miss,23,0.000263
15/16,miss,24,0.000126
15/16,miss,25,0.000065
15/16,miss,26,0.000072
15/16,miss,27,0.000076
15/16,miss,28,0.000008
15/16,miss,29,0.000008
15/16,miss,30,0.000046
15/16,miss,31,0.000023
15/16,miss,32,0.000011
31/32,hit,1,0.896030
31/32,hit,2,0.042259
31/32,hit,3,0.023144
31/32,hit,4,0.012283
31/32,hit,5,0.007763
31/32,hit,6,0.004925
31/32,hit,7,0.003147
31/32,hit,8,0.002430
31/32,hit,9,0.001667
31/32,hit,10,0.001404
31/32,hit,11,0.000908
31/32,hit,12,0.000778
31/32,hit,13,0.000599
31/32,hit,14,0.000465
31/32,hit,15,0.000435
31/32,hit,16,0.000317
31/32,hit,17,0.000248
31/32,hit,18,0.000225
31/32,hit,19,0.000145
31/32,hit,20,0.000145
31/32,hit,21,0.000103
31/32,hit,22,0.000099
31/32,hit,23,0.000076
31/32,hit,24,0.000076
31/32,hit,25,0.000069
31/32,hit,26,0.000053
31/32,hit,27,0.000034
31/32,hit,28,0.000050
31/32,hit,29,0.000027
31/32,hit,30,0.000034
31/32,hit,31,0.000027
31/32,hit,32,0.000034
31/32,miss,1,0.192479
31/32,miss,2,0.099839
31/32,miss,3,0.092518
31/32,miss,4,0.076458
31/32,miss,5,0.067051
31/32,miss,6,0.058205
31/32,miss,7,0.049164
31/32,miss,8,0.044129
31/32,miss,9,0.038017
31/32,miss,10,0.033840
31/32,miss,11,0.030625
31/32,miss,12,0.025311
31/32,miss,13,0.022961
31/32,miss,14,0.021675
