hash,pattern,groups,fraction
identity,random,1,0.999628
identity,random,2,0.000368
identity,random,3,0.000004
fmix64,random,1,0.999653
fmix64,random,2,0.000347
wyhash,random,1,0.999634
wyhash,random,2,0.000362
wyhash,random,3,0.000004
identity,sequential,1,0.000031
identity,sequential,2,0.000061
identity,sequential,3,0.000092
identity,sequential,4,0.000122
identity,sequential,5,0.000153
identity,sequential,6,0.000183
identity,sequential,7,0.000214
identity,sequential,8,0.000246
identity,sequential,9,0.000275
identity,sequential,10,0.000305
identity,sequential,11,0.000336
identity,sequential,12,0.000366
identity,sequential,13,0.000397
identity,sequential,14,0.000427
identity,sequential,15,0.000458
identity,sequential,16,0.000490
identity,sequential,17,0.000519
identity,sequential,18,0.000549
identity,sequential,19,0.000580
identity,sequential,20,0.000610
identity,sequential,21,0.000641
identity,sequential,22,0.000671
identity,sequential,23,0.000704
identity,sequential,24,0.000732
identity,sequential,25,0.000763
identity,sequential,26,0.000793
identity,sequential,27,0.000824
identity,sequential,28,0.000854
identity,sequential,29,0.000885
identity,sequential,30,0.000917
identity,sequential,31,0.000946
identity,sequential,32,0.984856
fmix64,sequential,1,0.999651
fmix64,sequential,2,0.000341
fmix64,sequential,3,0.000008
wyhash,sequential,1,0.984686
wyhash,sequential,2,0.011305
wyhash,sequential,3,0.003975
wyhash,sequential,4,0.000034
identity,strided,1,1.000000
fmix64,strided,1,0.999617
fmix64,strided,2,0.000380
fmix64,strided,3,0.000004
wyhash,strided,1,0.999155
wyhash,strided,2,0.000788
wyhash,strided,3,0.000057
