width,probe,elements,hit_ns,miss_ns,groups_per_hit,groups_per_miss
16,simd,4096,18.1527,46.8293,1.1733,1.9307
8,simd,4096,19.9565,43.2260,1.3577,2.6597
16,scalar,4096,62.1885,136.6291,1.1733,1.9307
8,scalar,4096,49.2404,108.2542,1.3577,2.6597
16,simd,65536,50.1769,46.0217,1.1982,1.9751
8,simd,65536,36.4936,72.9421,1.3936,2.7585
16,scalar,65536,105.0308,185.7265,1.1982,1.9751
8,scalar,65536,58.2582,162.1243,1.3936,2.7585
16,simd,1048576,98.7919,69.9485,1.1951,1.9691
8,simd,1048576,51.0692,88.5840,1.3879,2.7318
16,scalar,1048576,237.7354,161.6719,1.1951,1.9691
8,scalar,1048576,185.4089,149.7660,1.3879,2.7318
16,simd,4194304,165.3418,103.5440,1.1952,1.9679
8,simd,4194304,153.7441,120.5424,1.3868,2.7279
16,scalar,4194304,237.2732,226.9326,1.1952,1.9679
8,scalar,4194304,159.0416,207.7654,1.3868,2.7279
